,Year,Location #,Location Name,Latitude,Longitude,AM/PM,Mode,Count
0,2023,1,Webster Ave & Prospect St,42.37698095,-71.09558138,AM,Bike,145
1,2023,1,Webster Ave & Prospect St,42.37698095,-71.09558138,AM,Ped,200
2,2023,1,Webster Ave & Prospect St,42.37698095,-71.09558138,PM,Bike,182
3,2023,1,Webster Ave & Prospect St,42.37698095,-71.09558138,PM,Ped,276
4,2023,2,Washington St & Somerville Ave,42.37964074,-71.09641999,AM,Bike,193
5,2023,2,Washington St & Somerville Ave,42.37964074,-71.09641999,AM,Ped,584
6,2023,2,Washington St & Somerville Ave,42.37964074,-71.09641999,PM,Bike,270
7,2023,2,Washington St & Somerville Ave,42.37964074,-71.09641999,PM,Ped,555
8,2023,3,Somerville Ave & Prospect St,42.37909418,-71.09410547,AM,Bike,173
9,2023,3,Somerville Ave & Prospect St,42.37909418,-71.09410547,AM,Ped,243
10,2023,3,Somerville Ave & Prospect St,42.37909418,-71.09410547,PM,Bike,209
11,2023,3,Somerville Ave & Prospect St,42.37909418,-71.09410547,PM,Ped,312
12,2023,4,Somerville Ave & Elm St,42.38551922,-71.11347413,AM,Bike,108
13,2023,4,Somerville Ave & Elm St,42.38551922,-71.11347413,AM,Ped,252
14,2023,4,Somerville Ave & Elm St,42.38551922,-71.11347413,PM,Bike,176
15,2023,4,Somerville Ave & Elm St,42.38551922,-71.11347413,PM,Ped,289
16,2023,5,Medford St & Broadway,42.39733605,-71.10430319,AM,Bike,36
17,2023,5,Medford St & Broadway,42.39733605,-71.10430319,AM,Ped,156
18,2023,5,Medford St & Broadway,42.39733605,-71.10430319,PM,Bike,54
19,2023,5,Medford St & Broadway,42.39733605,-71.10430319,PM,Ped,247
20,2023,6,Willow Ave & Elm St,42.39131962,-71.11874806,AM,Bike,109
21,2023,6,Willow Ave & Elm St,42.39131962,-71.11874806,AM,Ped,182
22,2023,6,Willow Ave & Elm St,42.39131962,-71.11874806,PM,Bike,203
23,2023,6,Willow Ave & Elm St,42.39131962,-71.11874806,PM,Ped,406
24,2023,7,Community Path & Grove St,42.39627069,-71.1201391,AM,Bike,188
25,2023,7,Community Path & Grove St,42.39627069,-71.1201391,AM,Ped,341
26,2023,7,Community Path & Grove St,42.39627069,-71.1201391,PM,Bike,231
27,2023,7,Community Path & Grove St,42.39627069,-71.1201391,PM,Ped,638
28,2023,8,Community Path & Cedar St,42.39399986,-71.11109026,AM,Bike,272
29,2023,8,Community Path & Cedar St,42.39399986,-71.11109026,AM,Ped,382
30,2023,8,Community Path & Cedar St,42.39399986,-71.11109026,PM,Bike,326
31,2023,8,Community Path & Cedar St,42.39399986,-71.11109026,PM,Ped,559
32,2023,9,Community Path & Buena Vista Rd,42.3972798,-71.12462236,AM,Bike,153
33,2023,9,Community Path & Buena Vista Rd,42.3972798,-71.12462236,AM,Ped,257
34,2023,9,Community Path & Buena Vista Rd,42.3972798,-71.12462236,PM,Bike,238
35,2023,9,Community Path & Buena Vista Rd,42.3972798,-71.12462236,PM,Ped,393
36,2023,10,College Ave & Powder House Circle,42.40135813,-71.11679109,AM,Bike,77
37,2023,10,College Ave & Powder House Circle,42.40135813,-71.11679109,AM,Ped,150
38,2023,10,College Ave & Powder House Circle,42.40135813,-71.11679109,PM,Bike,116
39,2023,10,College Ave & Powder House Circle,42.40135813,-71.11679109,PM,Ped,375
40,2023,11,Holland St & Cameron Ave,42.40105859,-71.12618323,AM,Bike,74
41,2023,11,Holland St & Cameron Ave,42.40105859,-71.12618323,AM,Ped,288
42,2023,11,Holland St & Cameron Ave,42.40105859,-71.12618323,PM,Bike,116
43,2023,11,Holland St & Cameron Ave,42.40105859,-71.12618323,PM,Ped,415
44,2023,12,Broadway & McGrath Hwy,42.38968478,-71.08814248,AM,Bike,39
45,2023,12,Broadway & McGrath Hwy,42.38968478,-71.08814248,AM,Ped,100
46,2023,12,Broadway & McGrath Hwy,42.38968478,-71.08814248,PM,Bike,43
47,2023,12,Broadway & McGrath Hwy,42.38968478,-71.08814248,PM,Ped,102
48,2023,13,Somerville Ave & Beacon St,42.38691747,-71.11617819,AM,Bike,331
49,2023,13,Somerville Ave & Beacon St,42.38691747,-71.11617819,AM,Ped,270
