,OBJECTID,OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,LIC_or_DAC,COUNTY,STATEABB,Justice40,Shape__Area,Shape__Length
0,1,1,6,37,139200,6037139200,1392.0,Census Tract 1392,G5020,S,1152031,0,LIC,"Los Angeles County, CA",CA,Justice40 DAC,1152031.70633316,4272.49721731198
1,2,2,6,37,143200,6037143200,1432.0,Census Tract 1432,G5020,S,957093,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,957095.538928986,4285.47530054756
2,3,3,6,37,201301,6037201301,2013.01,Census Tract 2013.01,G5020,S,866188,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,866185.853874207,5961.90737152155
3,4,4,6,37,201401,6037201401,2014.01,Census Tract 2014.01,G5020,S,1279500,28686,Both,"Los Angeles County, CA",CA,Justice40 DAC,1308186.60335541,4721.37888897316
4,5,5,6,37,201402,6037201402,2014.02,Census Tract 2014.02,G5020,S,1941232,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,1941234.21165466,5794.23159648741
5,6,6,6,37,139302,6037139302,1393.02,Census Tract 1393.02,G5020,S,338288,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,338287.282196045,2426.57322597998
6,7,7,6,37,139502,6037139502,1395.02,Census Tract 1395.02,G5020,S,1047548,0,LIC,"Los Angeles County, CA",CA,Justice40 DAC,1047551.55828857,5169.28878485455
7,8,8,6,13,336201,6013336201,3362.01,Census Tract 3362.01,G5020,S,1256563,0,Both,"Contra Costa County, CA",CA,Justice40 DAC,1256562.02153563,6486.82465490841
8,9,9,6,37,181600,6037181600,1816.0,Census Tract 1816,G5020,S,1250035,0,LIC,"Los Angeles County, CA",CA,Justice40 DAC,1250034.47370911,5472.06178270866
9,10,10,6,37,183101,6037183101,1831.01,Census Tract 1831.01,G5020,S,948156,19799,LIC,"Los Angeles County, CA",CA,Justice40 DAC,967955.423561096,5191.5148709086
10,11,11,6,37,183220,6037183220,1832.2,Census Tract 1832.20,G5020,S,535234,0,LIC,"Los Angeles County, CA",CA,Justice40 DAC,535234.036125183,4058.67782077172
11,12,12,6,37,183300,6037183300,1833.0,Census Tract 1833,G5020,S,541305,0,LIC,"Los Angeles County, CA",CA,Justice40 DAC,541306.560783386,3128.64405383031
12,13,13,6,37,183510,6037183510,1835.1,Census Tract 1835.10,G5020,S,500438,0,LIC,"Los Angeles County, CA",CA,Justice40 DAC,500441.367485046,3187.2670009289
13,14,14,6,37,183520,6037183520,1835.2,Census Tract 1835.20,G5020,S,427707,0,LIC,"Los Angeles County, CA",CA,Justice40 DAC,427706.641906738,2798.61606744386
14,15,15,6,37,183610,6037183610,1836.1,Census Tract 1836.10,G5020,S,378643,0,LIC,"Los Angeles County, CA",CA,Justice40 DAC,378642.99962616,2988.55362848995
15,16,16,6,37,183820,6037183820,1838.2,Census Tract 1838.20,G5020,S,308656,0,LIC,"Los Angeles County, CA",CA,Justice40 DAC,308655.552589417,3196.64590296872
16,17,17,6,37,185310,6037185310,1853.1,Census Tract 1853.10,G5020,S,421083,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,421082.965057373,3707.69785015165
17,18,18,6,111,3011,6111003011,30.11,Census Tract 30.11,G5020,S,859112,0,LIC,"Ventura County, CA",CA,Justice40 DAC,859111.67665863,3769.37636357934
18,19,19,6,111,1206,6111001206,12.06,Census Tract 12.06,G5020,S,100900703,8236035,LIC,"Ventura County, CA",CA,Justice40 DAC,109136732.549555,56258.5703199799
19,20,20,6,111,303,6111000303,3.03,Census Tract 3.03,G5020,S,36465188,967598,LIC,"Ventura County, CA",CA,Justice40 DAC,37432793.9533997,38365.5789725952
20,21,21,6,29,200,6029000200,2.0,Census Tract 2,G5020,S,2842591,0,Both,"Kern County, CA",CA,Justice40 DAC,2842588.86568069,10191.28323287
21,22,22,6,29,300,6029000300,3.0,Census Tract 3,G5020,S,1518290,0,Both,"Kern County, CA",CA,Justice40 DAC,1518289.75885391,7848.28727417005
22,23,23,6,37,552700,6037552700,5527.0,Census Tract 5527,G5020,S,1375435,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,1375438.10324097,5029.32107833946
23,24,24,6,37,552800,6037552800,5528.0,Census Tract 5528,G5020,S,1293752,0,LIC,"Los Angeles County, CA",CA,Justice40 DAC,1293751.31172943,4835.86570322927
24,25,25,6,107,3501,6107003501,35.01,Census Tract 35.01,G5020,S,14357178,154009,LIC,"Tulare County, CA",CA,Justice40 DAC,14511190.1030922,16421.0315629153
25,26,26,6,59,62649,6059062649,626.49,Census Tract 626.49,G5020,S,3369926,8846,LIC,"Orange County, CA",CA,Justice40 DAC,3378775.91475677,9017.26316729199
26,27,27,6,41,112201,6041112201,1122.01,Census Tract 1122.01,G5020,S,323251,50963,LIC,"Marin County, CA",CA,Justice40 DAC,374214.134306729,3718.38039252741
27,28,28,6,37,601402,6037601402,6014.02,Census Tract 6014.02,G5020,S,983306,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,983305.316291809,4043.12917177998
28,29,29,6,37,601502,6037601502,6015.02,Census Tract 6015.02,G5020,S,490798,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,490798.328216553,3509.61919697933
29,30,30,6,37,601600,6037601600,6016.0,Census Tract 6016,G5020,S,912444,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,912444.801868439,3921.54306106079
30,31,31,6,37,601700,6037601700,6017.0,Census Tract 6017,G5020,S,780881,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,780876.924449921,3871.90281790249
31,32,32,6,37,601801,6037601801,6018.01,Census Tract 6018.01,G5020,S,486723,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,486720.494617462,3215.22059338066
32,33,33,6,37,601802,6037601802,6018.02,Census Tract 6018.02,G5020,S,484101,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,484100.224720001,3219.61275073892
33,34,34,6,25,11500,6025011500,115.0,Census Tract 115,G5020,S,2052294,0,Both,"Imperial County, CA",CA,Justice40 DAC,2052292.04003906,6474.69038963873
34,35,35,6,37,602002,6037602002,6020.02,Census Tract 6020.02,G5020,S,530846,4612,Both,"Los Angeles County, CA",CA,Justice40 DAC,535459.315467834,3284.38596195396
35,36,36,6,37,602003,6037602003,6020.03,Census Tract 6020.03,G5020,S,625130,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,625130.882537842,3150.78306971843
36,37,37,6,37,602103,6037602103,6021.03,Census Tract 6021.03,G5020,S,835901,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,835899.526855469,3639.02192928084
37,38,38,6,37,530700,6037530700,5307.0,Census Tract 5307,G5020,S,1057568,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,1057569.21614075,5450.97053302182
38,39,39,6,107,2002,6107002002,20.02,Census Tract 20.02,G5020,S,2534586,0,LIC,"Tulare County, CA",CA,Justice40 DAC,2534585.34501743,6340.66991986191
39,40,40,6,37,530801,6037530801,5308.01,Census Tract 5308.01,G5020,S,769112,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,769111.498634338,4422.23480640791
40,41,41,6,37,530802,6037530802,5308.02,Census Tract 5308.02,G5020,S,566330,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,566328.283103943,4429.92561299204
41,42,42,6,37,530901,6037530901,5309.01,Census Tract 5309.01,G5020,S,444140,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,444141.15587616,2670.4006636448
42,43,43,6,37,531000,6037531000,5310.0,Census Tract 5310,G5020,S,999474,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,999472.368927002,4824.09895784517
43,44,44,6,37,531102,6037531102,5311.02,Census Tract 5311.02,G5020,S,498376,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,498377.106910706,3001.78011127935
44,45,45,6,37,531201,6037531201,5312.01,Census Tract 5312.01,G5020,S,555365,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,555362.667037964,3396.53203597495
45,46,46,6,37,531301,6037531301,5313.01,Census Tract 5313.01,G5020,S,792709,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,792708.972206116,4653.0491424777
46,47,47,6,37,531302,6037531302,5313.02,Census Tract 5313.02,G5020,S,883751,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,883752.923522949,4823.83093738965
47,48,48,6,37,541001,6037541001,5410.01,Census Tract 5410.01,G5020,S,2609459,0,Both,"Los Angeles County, CA",CA,Justice40 DAC,2609457.46385193,6562.01197744056
48,49,49,6,107,2008,6107002008,20.08,Census Tract 20.08,G5020,S,1294570,0,LIC,"Tulare County, CA",CA,Justice40 DAC,1294570.41403008,4734.13275224261
49,50,50,6,107,2009,6107002009,20.09,Census Tract 20.09,G5020,S,1852067,0,LIC,"Tulare County, CA",CA,Justice40 DAC,1852066.58642864,6954.28860270828
