,Fiscal Year,Number of Employees,Number of Vehicles,Annual Budget
0,FY2007,650,322,64000000
1,FY2008,650,275,64500000
2,FY2009,650,299,71000000
3,FY2010,700,306,73500000
4,FY2011,704,306,73500000
5,FY2012,642,306,74300000
6,FY2013,638,306,74300000
7,FY2014,638,306,76100000
8,FY2015,650,306,79000000
9,FY2016,650,306,79000000
10,FY2017,690,259,81400000
11,FY2018,690,300,86100000
12,FY2019,707,300,86100000
13,FY2020,718,308,97000000
14,FY2021,746,308,97300000
15,FY2022,736,300,104200000
16,FY2023,744,345,116200000
